OTU#,Genus RDP,Kingdom,Phylum,Class ,Order,Family,Genus ,Species,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12
OTU1,Acetothermia_Acetothermia_genera_incertae_sedis_Acetothermia_genera_incertae_sedis_Acetothermia_genera_incertae_sedis_other_Acetothermia_genera_incertae_sedis,Acetothermia,Acetothermia,genera,incertae,sedis,Acetothermia,genera,0.000200773,0.000481464,0.000280007,0.000160521,0.000188046,0.000208532,0.000146356,0.00018497,0.000196138,0.000183054,0,0
OTU2,Acetothermia_Acetothermia_genera_incertae_sedis_Acetothermia_genera_incertae_sedis_Acetothermia_genera_incertae_sedis_unknown_Acetothermia_genera_incertae_sedis,Acetothermia,Acetothermia,genera,incertae,sedis,Acetothermia,genera,0.001982633,0.002888782,0.002053388,0.000756742,0.001826729,0.00104266,0.001561128,0.001241941,0.001852417,0.001212731,0.001210654,0.000330033
OTU3,Acidobacteria_Acidobacteria_Gp10_Gp10_Gp10_Gp10,Acidobacteria,Acidobacteria,Gp10,Gp10,Gp10,Gp10,,0,0,0,0.000206384,0.000188046,0.000148951,0.000195141,0.000211394,0.000130759,0.000251699,0,0.000825083
OTU4,Acidobacteria_Acidobacteria_Gp10_Gp10_Gp10_unknown_Gp10,Acidobacteria,Acidobacteria,Gp10,Gp10,Gp10,unknown,Gp10,0,0,0,0.000183453,0,0,0,0,0.000196138,0.000160172,0,0.000165017
OTU5,Acidobacteria_Acidobacteria_Gp11_Gp11_Gp11_Gp11,Acidobacteria,Acidobacteria,Gp11,Gp11,Gp11,Gp11,,0.001555991,0.001364147,0.00112003,0.001146579,0.000993956,0.001459724,0.001512343,0.001849699,0.001198623,0.001052559,0,0.000660066
OTU6,Acidobacteria_Acidobacteria_Gp11_Gp11_Gp11_unknown_Gp11,Acidobacteria,Acidobacteria,Gp11,Gp11,Gp11,unknown,Gp11,0.000125483,0.000381159,0.000630017,0.000137589,0,0,0.000170748,0.00018497,0,0,0,0
OTU7,Acidobacteria_Acidobacteria_Gp12_Gp12_Gp12_Gp12,Acidobacteria,Acidobacteria,Gp12,Gp12,Gp12,Gp12,,0,0.000100305,0,0.000114658,0,0,0,0,0,0,0,0
OTU8,Acidobacteria_Acidobacteria_Gp13_Gp13_Gp13_Gp13,Acidobacteria,Acidobacteria,Gp13,Gp13,Gp13,Gp13,,0.000903478,0.001203659,0.000676685,0.000642084,0.000241773,0.000178742,0.000780564,0.000845577,0.00041407,0.000411871,0.00281299,0.000412541
OTU9,Acidobacteria_Acidobacteria_Gp13_Gp13_Gp13_unknown_Gp13,Acidobacteria,Acidobacteria,Gp13,Gp13,Gp13,unknown,Gp13,0,0.000120366,0,0,0,0,0,0,0,0,0.000178037,0
OTU10,Acidobacteria_Acidobacteria_Gp15_Gp15_Gp15_Gp15,Acidobacteria,Acidobacteria,Gp15,Gp15,Gp15,Gp15,,0.000577222,0.001645001,0,0.000137589,0.000214909,0.000119161,0.000268319,0.000132121,0.000261518,0,0.00042729,0
OTU11,Acidobacteria_Acidobacteria_Gp15_Gp15_Gp15_unknown_Gp15,Acidobacteria,Acidobacteria,Gp15,Gp15,Gp15,unknown,Gp15,0,0,0,0.000160521,0,0,0,0,0,0,0,0
OTU12,Acidobacteria_Acidobacteria_Gp16_Gp16_Gp16_Gp16,Acidobacteria,Acidobacteria,Gp16,Gp16,Gp16,Gp16,,0.001982633,0.001524635,0.002310062,0.001513484,0.001799866,0.001608675,0.003414967,0.00235176,0.00117683,0.001670366,0.000712149,0.00189769
OTU13,Acidobacteria_Acidobacteria_Gp16_Gp16_Gp16_unknown_Gp16,Acidobacteria,Acidobacteria,Gp16,Gp16,Gp16,unknown,Gp16,0.000175676,0.000120366,0.000210006,0,0.000188046,0.000178742,0.000195141,0.00018497,0,0.000205936,0,0
